customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0001-FLARJ,Male,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No
0002-KSNYZ,Female,0,No,No,34,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,No,Maestro debit card,56.95,1889.5,No
0003-TMFUG,Male,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,53.85,108.15,Yes
0004-GNOLK,Female,0,No,No,45,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,One year,No,Credit card (automatic),42.30,1840.75,No
0005-APQWE,Male,0,Yes,Yes,2,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.70,151.65,Yes
0006-BVCXZ,Female,1,No,No,8,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,59.60,475.45,No
0007-QWERT,Male,1,Yes,No,22,Yes,No,DSL,No,Yes,No,No,No,No,Two year,No,Credit card (automatic),39.65,820.5,No
0008-ASDFG,Female,0,Yes,Yes,10,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,84.75,845.8,Yes
0009-ZXCVB,Male,1,No,No,28,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Bank transfer (automatic),49.95,1397.45,No
0010-POIUY,Female,0,No,No,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.35,306.6,Yes

